===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.16.141/auth/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/02 11:06:56 Starting gobuster in directory enumeration mode
===============================================================
/_tempalbums.php      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums.php]                             
/_vti_aut.js          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut.js]                                 
/_vti_bin/_vti_aut/author.dll (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_aut/author.dll]        
/_temp                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp]                                       
/_css.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css.css]                                    
/_.html               (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_.html]                                      
/_flash.html          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash.html]                                 
/_template.css        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template.css]                               
/_swf.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf.txt]                                    
/.mysql_history.css   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history.css]                          
/_tmpfileop.php       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop.php]                              
/_tmp.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp.html]                                   
/_test.html           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test.html]                                  
/_templates.css       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates.css]                              
/_vti_bin/_vti_adm/admin.dll.html (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll.html]
/_vti_bin.js          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin.js]                                 
/_themes.js           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes.js]                                  
/.subversion.html     (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.subversion.html]                            
/_mm                  (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_mm]                                         
/_catalogs            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_catalogs]                                   
/.hta.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.hta.txt]                                    
/_lib.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_lib.html]                                   
/.htpasswd.html       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.htpasswd.html]                              
/_js.css              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_js.css]                                     
/_ajax                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_ajax]                                       
/_vti_bin/_vti_adm/admin.dll.txt (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll.txt]  
/_test.txt            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test.txt]                                   
/_flash.txt           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash.txt]                                  
/_tmpfileop           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop]                                  
/_template.php        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template.php]                               
/_vti_aut             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut]                                    
/.mysql_history.php   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history.php]                          
/_css.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css.php]                                    
/_tempalbums.html     (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums.html]                            
/_tmp.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp.txt]                                    
/_templates.php       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates.php]                              
/_vti_bin.css         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin.css]                                
/_.txt                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_.txt]                                       
/_vti_bin/_vti_aut/author.dll.html (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_aut/author.dll.html]
/_temp.html           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp.html]                                    
/_themes.css          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes.css]                                   
/_swf.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf.js]                                       
/_catalogs.css        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_catalogs.css]                                 
/.subversion.txt      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.subversion.txt]                               
/_mm.js               (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_mm.js]                                        
/.htpasswd.txt        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.htpasswd.txt]                                 
/.hta.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.hta.js]                                       
/_lib.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_lib.txt]                                      
/_vti_bin/_vti_adm/admin.dll (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll]            
/_vti_bin/shtml.dll.txt (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/shtml.dll.txt]                      
/_tmpfileop.html      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop.html]                               
/_vti_aut.css         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut.css]                                  
/_js                  (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_js]                                           
/_vti_cnf             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_cnf]                                      
/_template            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template]                                     
/_ajax.css            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_ajax.css]                                     
/_tempalbums.txt      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums.txt]                               
/_vti_inf             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_inf]                                      
/_test.js             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test.js]                                      
/_swf.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf.css]                                      
/_tmp.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp.js]                                       
/_vti_bin             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin]                                      
/_templates.html      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates.html]                               
